Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.535855151648689,-0.210630038502591,0.130448083148573,0,0,0,117.071257247369,1.32673730818558,6.22942728110869E-05,0.00254829946621228,0.809705166628433,-3.80130720440823E-05,1.23489819344999,0,0,0,0,0,0,package://asimov/meshes/base_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://asimov/meshes/base_link.STL,,"Third_Iteration_Drivetrain-2/Clamping_Plate-3;Third_Iteration_Drivetrain-2/jul5_wheel_mount-1;Third_Iteration_Drivetrain-2/Clamping_Plate-1;Third_Iteration_Drivetrain-2/jul5_wheel_mount-2;Third_Iteration_Drivetrain-2/Motor-1;Third_Iteration_Drivetrain-2/Clamping_Plate-2;Third_Iteration_Drivetrain-2/Motor-2;Third_Iteration_Drivetrain-2/2020_profile_L_Clamp - L-Bracket-7;Third_Iteration_Drivetrain-2/2020_profile_L_Clamp - L-Bracket-5;Third_Iteration_Drivetrain-2/2020_profile_L_Clamp - L-Bracket-3;Third_Iteration_Drivetrain-2/2020_profile_L_Clamp - L-Bracket-2;Third_Iteration_Drivetrain-2/61mm-2;Third_Iteration_Drivetrain-2/61mm-1;Third_Iteration_Drivetrain-2/170mm-3;Third_Iteration_Drivetrain-2/170mm-2;Third_Iteration_Drivetrain-2/170mm-1;Third_Iteration_Drivetrain-2/380mm-1;Third_Iteration_Drivetrain-2/2020_profile_L_Clamp - L-Bracket-8;Third_Iteration_Drivetrain-2/2020_profile_L_Clamp - L-Bracket-6;Third_Iteration_Drivetrain-2/2020_profile_L_Clamp - L-Bracket-4;Third_Iteration_Drivetrain-2/2020_profile_L_Clamp - L-Bracket-1;Third_Iteration_Drivetrain-2/380mm-2;Third_Iteration_Drivetrain-2/170mm-4;Third_Iteration_Drivetrain-1/Clamping_Plate-3;Third_Iteration_Drivetrain-1/jul5_wheel_mount-1;Third_Iteration_Drivetrain-1/Clamping_Plate-1;Third_Iteration_Drivetrain-1/jul5_wheel_mount-2;Third_Iteration_Drivetrain-1/Motor-1;Third_Iteration_Drivetrain-1/Clamping_Plate-2;Third_Iteration_Drivetrain-1/Motor-2;Third_Iteration_Drivetrain-1/2020_profile_L_Clamp - L-Bracket-7;Third_Iteration_Drivetrain-1/2020_profile_L_Clamp - L-Bracket-5;Third_Iteration_Drivetrain-1/2020_profile_L_Clamp - L-Bracket-3;Third_Iteration_Drivetrain-1/2020_profile_L_Clamp - L-Bracket-2;Third_Iteration_Drivetrain-1/61mm-2;Third_Iteration_Drivetrain-1/61mm-1;Third_Iteration_Drivetrain-1/170mm-3;Third_Iteration_Drivetrain-1/170mm-2;Third_Iteration_Drivetrain-1/170mm-1;Third_Iteration_Drivetrain-1/380mm-1;Third_Iteration_Drivetrain-1/2020_profile_L_Clamp - L-Bracket-8;Third_Iteration_Drivetrain-1/2020_profile_L_Clamp - L-Bracket-6;Third_Iteration_Drivetrain-1/2020_profile_L_Clamp - L-Bracket-4;Third_Iteration_Drivetrain-1/2020_profile_L_Clamp - L-Bracket-1;Third_Iteration_Drivetrain-1/380mm-2;Third_Iteration_Drivetrain-1/170mm-4;FinalArmVersion.STEP-1/Bearing_Mount.STEP-2;FinalArmVersion.STEP-1/5972K84_Ball Bearing_5972K84.STEP-3;FinalArmVersion.STEP-1/5972K84_Ball Bearing_5972K84.STEP-2;FinalArmVersion.STEP-1/tobenamed.STEP-1;FinalArmVersion.STEP-1/Synch_Wheel_12T-8B_SH.STEP-2;FinalArmVersion.STEP-1/Motor1_spacer.STEP-1;FinalArmVersion.STEP-1/Shoulder_Wall.STEP-1;FinalArmVersion.STEP-1/Wheel_Filler.STEP-1;FinalArmVersion.STEP-1/Synch_Wheel_72T-24B.STEP-1;FinalArmVersion.STEP-1/Synch_Wheel_12T-8B_SH.STEP-1;FinalArmVersion.STEP-1/4138N59_1045 Carbon Steel Rotary Shaft(1)_4138N59.STEP-1;FinalArmVersion.STEP-1/5972K84_Ball Bearing_5972K84.STEP-4;FinalArmVersion.STEP-1/5972K84_Ball Bearing_5972K84.STEP-1;FinalArmVersion.STEP-1/mount.STEP-1;FinalArmVersion.STEP-1/Shoulder_Wall.STEP-2;FinalArmVersion.STEP-1/Bearing_Mount.STEP-1;FinalArmVersion.STEP-1/17HS15-1684S-PG27 (1).step.STEP-1;FinalArmVersion.STEP-1/Assem2.STEP-1;FinalArmVersion.STEP-1/righty.STEP-1;FinalArmVersion.STEP-1/lefty.STEP-1;FinalArmVersion.STEP-1/Copy of Assem3_Arm_Assem.STEP-1;FinalArmVersion.STEP-1/Assem1_2.STEP-1;Lightbulbassemblymount-1;Sfront-1;Lightbulbassemblymount-2;Boat Light-1;Fan-4;Shutdown Button (2)-1;Kill_Switch_Mount - S2-1;LogoAcrylicBoard-1;Boat Light-2;S5-1;Kill_Switch_Mount - S1-1;2020_profile_L_Clamp-2;2020_profile_L_Clamp-1;700mm_Length-1;Assem1 (1)-2;Fan-1/Part2^Fan-1;Fan-1/Coil wiring-1;Fan-1/NO 1, HOUSING-1;Fan-1/Part1wires^Fan-1;Fan-1/NO 2, Propeller-1;Battery-1;LogoAtFront-1;FrontCableAssembly-1/Stepper Phiget-11;FrontCableAssembly-1/Stepper Phiget-12;FrontCableAssembly-1/Arm_Dynamic_Motor_Phidget_Holder v3.step-1;FrontCableAssembly-1/topcover_bldc_tray v3.step-2;FrontCableAssembly-1/mirror_arm_dynamic_motor_phidget_holder v6.step-1;FrontCableAssembly-1/BLCD (3)-11;FrontCableAssembly-1/BLCD (3)-10;FrontCableAssembly-1/Stepper Phiget-10;FrontCableAssembly-1/topcover_bldc_tray v3.step-1;FrontCableAssembly-1/v2_topcover_mirror_arm_dynamic_motor_phidget_holder v3.step-1;FrontCableAssembly-1/BLCD (3)-12;FrontCableAssembly-1/VintubMount-1;FrontCableAssembly-1/topcover_mirror_arm_dynamic_motor_phidget_holder v3.step-1;FrontCableAssembly-1/BLCD (3)-9;FrontCableAssembly-1/BLCD (3)-7;FrontCableAssembly-1/bldc_tray v3.step-2;FrontCableAssembly-1/Stepper Phiget-9;FrontCableAssembly-1/Stepper Phiget-8;FrontCableAssembly-1/VintHub-2;FrontCableAssembly-1/BasePlate2-1;FrontCableAssembly-1/Stepper Phiget-7;FrontCableAssembly-1/BLCD (3)-8;FrontCableAssembly-1/bldc_tray v3.step-1;FrontCableAssembly-1/VintHub-1;2020_profile_L_Clamp - Copy-4;380mmLength-8;Separator-1;BatteryHolder_L-1;Jetson Nano-1;Fan-2/Part2^Fan-1;Fan-2/Coil wiring-1;Fan-2/NO 1, HOUSING-1;Fan-2/Part1wires^Fan-1;Fan-2/NO 2, Propeller-1;380mmLength-9;Buck Converter-1;DC to DC Adapter-1;High Power PDB-1;2020_profile_L_Clamp - Copy-2;BasePlate3-2;380mmLength-7;450mmLength-2;450mmLength-1;67mmLength-2;180mmLength-5;180mmLength-4;67mmLength-1;180mmLength-6;2020_profile_L_Clamp - Copy-3;2020_profile_L_Clamp - Copy-1;380mmLength-6;380mmLength-5;400mmLength-2;380mmLength-3;400mmLength-1;245mmLength-4;700mmLength-2;380mmLength-1;700mmLength-1;BasePlate-1;180mmLength-3;PDBLayerinchassis-1;380mmLength-4;245mmLength-2;245mmLength-1;380mmLength-2;245mmLength-3;S1-2;S3-3;Asimov_BackgroundPlate-1;S1-1;S3-1;Asimov_BackgroundPlate-2",Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_wheel,-3.2273509147196E-05,-0.0240892137047773,9.72420589838707E-05,0,0,0,0.47815404513433,0.00116052843211105,-1.28841356367871E-08,-1.89908204591265E-07,0.00211767810181349,3.85962784208534E-08,0.00116103753976682,0,0,0,0,0,0,package://asimov/meshes/FL_wheel.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://asimov/meshes/FL_wheel.STL,,Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/socket head cap screw_ai-5;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-4;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/socket head cap screw_ai-4;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-6;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/socket head cap screw_ai-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-5;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/socket head cap screw_ai-3;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/machine screw nut hex_ai-6;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/machine screw nut hex_ai-5;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/socket head cap screw_ai-6;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-3;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/machine screw nut hex_ai-4;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/machine screw nut hex_ai-3;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/machine screw nut hex_ai-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-1;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/socket head cap screw_ai-1;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/Wheel Hub.step-1;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/machine screw nut hex_ai-1;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/Wheel.STEP-1/Tire_1.STEP-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/Wheel.STEP-1/Pneumatic Hub_1.STEP-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-2/Wheel.STEP-1/Valve_1.STEP-2,joint_fl-wheel,Axis5,fl-wheel,continuous,-0.057013,0.063627,-0.131,0,0,0,base_link,0,1,0,10,10,,,,,0.1,0.1,,,,
FR_wheel,9.96622573418149E-05,0.0240892137947505,2.37706705375762E-05,0,0,0,0.478154045074713,0.00116106640130735,-3.9580828166295E-08,1.43318405792121E-07,0.00211767811981765,-9.37490473170902E-09,0.00116049957641766,0,0,0,0,0,0,package://asimov/meshes/FR_wheel.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://asimov/meshes/FR_wheel.STL,,Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/socket head cap screw_ai-5;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-4;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/socket head cap screw_ai-4;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-6;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/socket head cap screw_ai-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-5;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/socket head cap screw_ai-3;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/machine screw nut hex_ai-6;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/machine screw nut hex_ai-5;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/socket head cap screw_ai-6;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-3;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/machine screw nut hex_ai-4;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/machine screw nut hex_ai-3;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/machine screw nut hex_ai-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-1;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/socket head cap screw_ai-1;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/Wheel Hub.step-1;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/machine screw nut hex_ai-1;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/Wheel.STEP-1/Tire_1.STEP-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/Wheel.STEP-1/Pneumatic Hub_1.STEP-2;Third_Iteration_Drivetrain-1/fmlWheel Mount Assembly-1/Wheel.STEP-1/Valve_1.STEP-2,joint_fr-wheel,Axis7,fr-wheel,continuous,-0.057013,-0.48363,-0.13,0,0,0,base_link,0,1,0,10,10,,,,,0.1,0.1,,,,
RR_wheel,9.96622573420369E-05,0.0240892137947505,2.37706705374652E-05,0,0,0,0.478154045074714,0.00116106640130736,-3.95808281657491E-08,1.43318405800204E-07,0.00211767811981766,-9.37490472959415E-09,0.00116049957641766,0,0,0,0,0,0,package://asimov/meshes/RR_wheel.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://asimov/meshes/RR_wheel.STL,,Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/socket head cap screw_ai-5;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-4;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/socket head cap screw_ai-4;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-6;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/socket head cap screw_ai-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-5;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/socket head cap screw_ai-3;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/machine screw nut hex_ai-6;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/machine screw nut hex_ai-5;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/socket head cap screw_ai-6;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-3;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/machine screw nut hex_ai-4;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/machine screw nut hex_ai-3;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/machine screw nut hex_ai-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/flat washer type a narrow_ai-1;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/socket head cap screw_ai-1;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/Wheel Hub.step-1;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/machine screw nut hex_ai-1;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/Wheel.STEP-1/Tire_1.STEP-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/Wheel.STEP-1/Pneumatic Hub_1.STEP-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-1/Wheel.STEP-1/Valve_1.STEP-2,joint-rr-wheel,Axis6,rr-wheel,continuous,-0.80601,-0.48363,-0.13,0,0,0,base_link,0,1,0,10,10,,,,,0.1,0.1,,,,
RL_wheel,-3.22735091469184E-05,-0.0240892137047771,9.72420589836764E-05,0,0,0,0.478154045134329,0.00116052843211105,-1.288413563753E-08,-1.89908204595265E-07,0.00211767810181349,3.85962784215217E-08,0.00116103753976682,0,0,0,0,0,0,package://asimov/meshes/RL_wheel.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://asimov/meshes/RL_wheel.STL,,Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/socket head cap screw_ai-5;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-4;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/socket head cap screw_ai-4;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-6;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/socket head cap screw_ai-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-5;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/socket head cap screw_ai-3;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/machine screw nut hex_ai-6;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/machine screw nut hex_ai-5;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/socket head cap screw_ai-6;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-3;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/machine screw nut hex_ai-4;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/machine screw nut hex_ai-3;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/machine screw nut hex_ai-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/flat washer type a narrow_ai-1;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/socket head cap screw_ai-1;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/Wheel Hub.step-1;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/machine screw nut hex_ai-1;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/Wheel.STEP-1/Tire_1.STEP-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/Wheel.STEP-1/Pneumatic Hub_1.STEP-2;Third_Iteration_Drivetrain-2/fmlWheel Mount Assembly-2/Wheel.STEP-1/Valve_1.STEP-2,Coordinate System6,Axis8,rl-wheel,continuous,-0.80601,0.063627,-0.131,0,0,0,base_link,0,1,0,10,10,,,,,0.1,0.1,,,,
